,mutation_1,mutation_2,crossover_1,crossover_2
"[44, -44, -25, 20, 23, 0, 0, 0, 0, 0]",0.0,0.0,-118.90891667569211,0.0
"[44, -44, -25, 20, 23, 21, 0, 0, 0, 0]",0.0,-148.00106570134068,0.0,0.0
"[44, -44, -25, 20, 23, 21, -37, 0, 0, 0]",0.0,0.0,-153.6121970483607,0.0
"[44, -44, -25, 20, 23, 21, -37, 17, 0, 0]",0.0,0.0,-153.61749301910643,-171.3934020418585
"[44, -44, -25, 20, 23, 21, -37, 17, 0, -28]",0.0,0.0,0.0,0.0
"[30, -33, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-79.02980981144496,0.0
"[30, -33, -42, 0, 0, 0, 0, 0, 0, 0]",0.0,-79.04564370601713,0.0,0.0
"[30, -33, -42, 2, 0, 0, 0, 0, 0, 0]",0.0,-82.76545666811887,0.0,0.0
"[30, -33, -42, 2, -12, 0, 0, 0, 0, 0]",0.0,-96.80789472934313,0.0,0.0
"[30, -33, -42, 2, -12, 27, 0, 0, 0, 0]",0.0,0.0,-151.50114432321755,0.0
"[30, -33, -42, 2, -12, 27, 53, 0, 0, 0]",0.0,0.0,-158.94703881823128,0.0
"[30, -33, -42, 2, -12, 27, 53, 20, 0, 0]",-186.83296019384144,0.0,0.0,0.0
"[30, -33, -42, 2, -12, 27, 53, 20, 38, 0]",0.0,0.0,-189.58690219734984,0.0
"[30, -33, -42, 2, -12, 27, 53, 20, 38, 12]",0.0,0.0,0.0,0.0
"[-16, -14, 0, 0, 0, 0, 0, 0, 0, 0]",-50.14476345054253,0.0,0.0,0.0
"[-16, -14, -43, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,-63.8474855557328,0.0
"[-16, -14, -43, -25, 0, 0, 0, 0, 0, 0]",-88.96884895746616,0.0,0.0,0.0
"[-16, -14, -43, -25, -34, 0, 0, 0, 0, 0]",0.0,0.0,0.0,-123.699165079191
"[-16, -14, -43, -25, -34, 42, 0, 0, 0, 0]",0.0,0.0,0.0,-132.022061487566
"[-16, -14, -43, -25, -34, 42, -19, 0, 0, 0]",0.0,0.0,-133.5655774592485,0.0
"[-16, -14, -43, -25, -34, 42, -19, 9, 0, 0]",0.0,0.0,-133.9788506662606,0.0
"[-16, -14, -43, -25, -34, 42, -19, 9, -3, 0]",0.0,0.0,-168.67061164024176,0.0
"[-16, -14, -43, -25, -34, 42, -19, 9, -3, 42]",0.0,0.0,0.0,0.0
"[-27, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-118.53256765946664,-47.32464314177144,-106.06675974674474,-79.00195402230193
"[-27, -5, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,-52.75739149222417,0.0,0.0
"[-27, -5, -41, 0, 0, 0, 0, 0, 0, 0]",0.0,-58.96682914406496,0.0,0.0
"[-27, -5, -41, -16, 0, 0, 0, 0, 0, 0]",0.0,-85.94165321295608,0.0,0.0
"[-27, -5, -41, -16, 37, 0, 0, 0, 0, 0]",0.0,0.0,-88.66791880170578,0.0
"[-27, -5, -41, -16, 37, -10, 0, 0, 0, 0]",-88.6870174253704,0.0,0.0,0.0
"[-27, -5, -41, -16, 37, -10, 2, 0, 0, 0]",0.0,0.0,0.0,-88.87624504169881
